Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
CellFighter,2002,Simulation,Top-down,Windows,,(1),Sergey Startsev,Sergey Startsev,0.0,1.0,
Homerun Bash,2016,Sports,Side view,Android,,,AAGH Games,AAGH Games,0.0,1.0,2D scrolling
LEGO Dimensions: Back to the Future Level Pack,2015,DLC / Add-on,Map / level,Xbox 360,,72% (1),Warner Bros. Interactive Entertainment Inc.,Warner Bros. Interactive Entertainment Inc.,0.0,1.0,Licensed
LEGO Dimensions: The Simpsons Level Pack,2015,DLC / Add-on,Map / level,Xbox 360,,69% (1),Warner Bros. Interactive Entertainment Inc.,Warner Bros. Interactive Entertainment Inc.,0.0,1.0,Licensed
Battle Eagle,2013,Action,Side view,Atari 8-bit,,,Cosine Systems,Cosine Systems,0.0,1.0,2D scrolling
Callisto,2012,Action,Side view,Atari 8-bit,,80% (1),Cosine Systems,Cosine Systems,0.0,1.0,2D scrolling
Reading Words,2014,Educational,Reading / writing,iPhone,,,Help Me 2 Learn Company,Help Me 2 Learn Company,0.0,1.0,
RGB,2014,Action,Side view,Atari 8-bit,,1 players,,,0.0,1.0,Fixed / flip-screen
Payday 2: The Ultimate Steal Pack Limited Edition,2014,Compilation,,Windows,,1 players,,,0.0,1.0,
Unfinished Tales: Illicit Love,2013,Adventure,1st-person,Windows,,,"Big Fish Games, Inc","Big Fish Games, Inc",0.0,1.0,Fixed / flip-screen
Drakengard 3: Japanese Voice Pack,2014,DLC / Add-on,Other,PlayStation 3,,1 players,,,0.0,1.0,
Science Illustrated Quiz Battle 2,2014,Strategy,Top-down,iPhone,,,Planeto AB,Planeto AB,0.0,1.0,Board game
Monkey Bongo,2011,Action,,iPhone,,,"Pangea Software, Inc.","Pangea Software, Inc.",0.0,1.0,
Midnight Star,2015,Action,1st-person,iPhone,,,Industrial Toys,Industrial Toys,0.0,1.0,"Rail shooter, Shooter"
